timesteps,fps,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean
10000,150,292.43395592379136,360.088228937184,0.44,0.3,230.68,9.893150172233582
20000,113,401.80497972765164,363.04983324725873,0.58,0.22,219.42,11.473518960475921
30000,102,320.74469862800817,356.09481138589337,0.46,0.22,258.8,10.058404657840729
40000,95,315.47960383471883,345.66044993677406,0.44,0.18,301.84,11.296048549413682
50000,92,476.044906204024,342.1949553541311,0.68,0.14,216.36,11.237988200187683
60000,91,387.56646697588496,358.0770637960498,0.56,0.2,211.18,9.431549729108811
70000,87,446.56263716995664,345.9884661240808,0.64,0.12,229.38,10.585835393667221
80000,85,521.2304809425412,309.43655172198254,0.74,0.06,229.06,11.283487921953201
90000,83,540.8791694592163,296.1907303008815,0.78,0.1,179.78,10.696561827659608
100000,83,485.4230430950204,338.1714237263128,0.7,0.16,179.96,10.42327378988266
110000,83,553.3086989587443,296.6222597191634,0.78,0.08,187.7,11.763520469665528
120000,82,569.8618275292661,272.3198530498766,0.82,0.04,168.7,9.489851181805134
130000,85,588.8746232347232,260.12295038197186,0.84,0.06,155.28,11.016470651626587
140000,88,588.1234975590423,276.4141444609821,0.84,0.08,149.22,10.874251919984818
150000,91,519.7140300403403,319.59651844155854,0.74,0.08,190.66,9.994567956924438
160000,94,552.0124927937732,288.16047267633957,0.78,0.06,199.32,12.009179248809815
170000,97,525.544466707077,314.35819189102256,0.76,0.08,184.6,9.604705992341042
180000,99,570.9185830601008,294.42944729071314,0.82,0.12,145.3,10.93023670077324
190000,101,537.4897162107153,309.1017280113157,0.78,0.14,145.5,9.675530245304108
200000,103,602.8908299845112,242.7768493545044,0.86,0.06,139.78,10.938116368055343
210000,105,543.7299395156759,299.0959785377736,0.78,0.08,177.72,9.993529189229012
220000,107,557.9231207550374,290.17109843538043,0.8,0.1,154.78,10.153972551822662
230000,109,543.1945250092394,305.39313320121875,0.78,0.12,142.88,10.187802090644837
240000,111,607.6524468543385,249.36252800201623,0.86,0.04,152.32,11.239277832508087
250000,113,599.1024162528801,245.73669542531687,0.86,0.08,128.5,10.258613910675049
260000,114,629.8645277525924,216.71337027696222,0.9,0.02,140.28,10.97801258802414
270000,115,632.1769248928588,214.11887359816862,0.9,0.04,124.4,10.760304675102233
280000,117,679.0081112774927,145.59869407423753,0.96,0.0,130.26,11.754661521911622
290000,118,639.8252708054595,222.25443678864997,0.9,0.04,138.3,12.140861225128173
300000,119,599.9601896776761,246.5938542630858,0.86,0.08,144.18,11.385307836532593
310000,121,661.318988391282,182.79479400949913,0.94,0.04,112.76,11.629069986343383
320000,122,611.3572508683417,244.249829828204,0.88,0.08,111.64,10.082601227760314
330000,123,616.6268008473153,232.86400988350894,0.88,0.06,121.12,10.038482340574264
340000,124,606.1472839864837,252.85512024292558,0.88,0.08,117.6,10.160444672107696
350000,125,583.5661193724185,274.9617632481848,0.82,0.06,154.56,11.010400892794133
360000,126,680.2545813837503,131.05774285269487,0.96,0.0,120.7,11.650963983535767
370000,127,609.0327505399035,247.54973921263036,0.86,0.06,141.78,11.469156336784362
380000,128,603.3124940360616,239.3469149689759,0.86,0.04,141.42,10.437725533396005
390000,129,634.4001079608908,218.6170087133377,0.9,0.04,131.76,11.584952766895293
400000,130,688.5492476002285,92.88242548350668,0.98,0.0,98.5,10.992308464050293
410000,130,565.0185333170328,279.00823967940977,0.82,0.12,119.46,11.141804504394532
420000,131,639.2182126496234,206.9869544545038,0.92,0.06,93.66,9.955226328372955
430000,132,598.6295417715427,258.9199585911198,0.86,0.1,113.12,10.311542178988457
440000,133,602.8994781911566,249.4616286318985,0.86,0.06,139.96,11.942578139305114
450000,133,672.0101247783979,149.4766730434931,0.96,0.02,106.28,10.987430622577667
460000,134,657.9511994467441,163.5405716992762,0.94,0.0,122.14,10.899638614654542
470000,135,597.4813739476008,258.21670881094195,0.86,0.1,110.74,10.537412552833556
480000,135,651.3380727615132,195.10604346875274,0.92,0.04,113.12,11.494841933250427
490000,136,612.3779733650624,239.6265482964706,0.88,0.08,108.8,10.227271993160247
500000,137,640.420573951645,195.73227983216594,0.92,0.02,119.78,10.313291847705841
